original string|restaurant name|city name|address
Adriano's Ristorante 2930 Beverly Glen Circle Los Angeles|Adriano's Ristorante|Los Angeles|2930 Beverly Glen Circle
Arnie Morton's of Chicago 435 S. La Cienega Blvd. Los Angeles|Arnie Morton's of Chicago|Los Angeles|435 S. La Cienega Blvd.
Art's Delicatessen 12224 Ventura Blvd. Studio City|Art's Delicatessen|Studio City|12224 Ventura Blvd.
Barney Greengrass 9570 Wilshire Blvd. Beverly Hills|Barney Greengrass|Beverly Hills|9570 Wilshire Blvd.
Beaurivage 26025 Pacific Coast Hwy. Malibu|Beaurivage|Malibu|26025 Pacific Coast Hwy.
Bistro Garden 176 N. Canon Dr. Los Angeles|Bistro Garden|Los Angeles|176 N. Canon Dr.
Border Grill 4th St. Los Angeles|Border Grill|Los Angeles|4th St.
Broadway Deli 3rd St. Promenade Santa Monica|Broadway Deli|Promenade Santa Monica|3rd St.
Ca'Brea 346 S. La Brea Ave. Los Angeles|Ca'Brea|Los Angeles|346 S. La Brea Ave.
Ca'del Sol 4100 Cahuenga Blvd. Los Angeles|Ca'del Sol|Los Angeles|4100 Cahuenga Blvd.
Cafe Bizou 14016 Ventura Blvd. Sherman Oaks|Cafe Bizou|Sherman Oaks|14016 Ventura Blvd.
Cafe Pinot 700 W. Fifth St. Los Angeles|Cafe Pinot|Los Angeles|700 W. Fifth St.
California Pizza Kitchen 207 S. Beverly Dr. Los Angeles|California Pizza Kitchen|Los Angeles|207 S. Beverly Dr.
Campanile 624 S. La Brea Ave. Los Angeles|Campanile|Los Angeles|624 S. La Brea Ave.
Canter's 419 N. Fairfax Ave. Los Angeles|Canter's|Los Angeles|419 N. Fairfax Ave.
Cava 3rd St. Los Angeles|Cava|Los Angeles|3rd St.
Cha Cha Cha 656 N. Virgil Ave. Los Angeles|Cha Cha Cha|Los Angeles|656 N. Virgil Ave.
Chan Dara 310 N. Larchmont Blvd. Los Angeles|Chan Dara|Los Angeles|310 N. Larchmont Blvd.
Chinois on Main 2709 Main St. Santa Monica|Chinois on Main|Santa Monica|2709 Main St.
Citrus 6703 Melrose Ave. Los Angeles|Citrus|Los Angeles|6703 Melrose Ave.
Clearwater Cafe 168 W. Colorado Blvd. Los Angeles|Clearwater Cafe|Los Angeles|168 W. Colorado Blvd.
Dining Room 9500 Wilshire Blvd. Los Angeles|Dining Room|Los Angeles|9500 Wilshire Blvd.
Dive! 10250 Santa Monica Blvd. Los Angeles|Dive!|Los Angeles|10250 Santa Monica Blvd.
Drago 2628 Wilshire Blvd. Santa Monica|Drago|Santa Monica|2628 Wilshire Blvd.
Drai's 730 N. La Cienega Blvd. Los Angeles|Drai's|Los Angeles|730 N. La Cienega Blvd.
Dynasty Room 930 Hilgard Ave. Los Angeles|Dynasty Room|Los Angeles|930 Hilgard Ave.
Eclipse 8800 Melrose Ave. Los Angeles|Eclipse|Los Angeles|8800 Melrose Ave.
Ed Debevic's 134 N. La Cienega Los Angeles|Ed Debevic's|La Cienega Los Angeles|134 N.
El Cholo 1121 S. Western Ave. Los Angeles|El Cholo|Los Angeles|1121 S. Western Ave.
Fenix 8358 Sunset Blvd. West Hollywood|Fenix|West Hollywood|8358 Sunset Blvd.
Gilliland's 2424 Main St. Santa Monica|Gilliland's|Santa Monica|2424 Main St.
Gladstone's 4 Fish 17300 Pacific Coast Hwy. at Sunset Blvd. Pacific Palisades|Gladstone's|Pacific Palisades|4 Fish 17300 Pacific Coast Hwy. at Sunset Blvd.
Granita 23725 W. Malibu Rd. Malibu|Granita|Malibu|23725 W.  Rd.
Grill on the Alley 9560 Dayton Way Los Angeles|Grill on the Alley|Los Angeles|9560 Dayton Way
Hard Rock Cafe 8600 Beverly Blvd. Los Angeles|Hard Rock Cafe|Los Angeles|8600 Beverly Blvd.
Harry's Bar & American Grill 2020 Ave. of the Stars Los Angeles|Harry's Bar & American Grill|of the Stars Los Angeles|2020 Ave.
Hotel Bel-Air 701 Stone Canyon Rd. Bel Air|Hotel Bel-Air|Bel Air|701 Stone Canyon Rd.
Il Fornaio Cucina Italiana 301 N. Beverly Dr. Los Angeles|Il Fornaio Cucina Italiana|Los Angeles|301 N. Beverly Dr.
Jack Sprat's Grill 10668 W. Pico Blvd. Los Angeles|Jack Sprat's Grill|Los Angeles|10668 W. Pico Blvd.
Jackson's Farm 439 N. Beverly Drive Los Angeles|Jackson's Farm|Beverly Drive Los Angeles|439 N.
Jimmy's 201 Moreno Dr. Los Angeles|Jimmy's|Los Angeles|201 Moreno Dr.
Joss 9255 Sunset Blvd. Los Angeles|Joss|Los Angeles|9255 Sunset Blvd.
L'Orangerie 903 N. La Cienega Blvd. Los Angeles|L'Orangerie|Los Angeles|903 N. La Cienega Blvd.
Le Chardonnay 8284 Melrose Ave. Los Angeles|Le Chardonnay|Los Angeles|8284 Melrose Ave.
Le Colonial 8783 Beverly Blvd. Los Angeles|Le Colonial|Los Angeles|8783 Beverly Blvd.
Le Dome 8720 Sunset Blvd. Los Angeles|Le Dome|Los Angeles|8720 Sunset Blvd.
Locanda Veneta 3rd St. Los Angeles|Locanda Veneta|Los Angeles|3rd St.
Louise's Trattoria 4500 Los Feliz Blvd. Los Angeles|Louise's Trattoria|Los Angeles|4500 Los Feliz Blvd.
Matsuhisa 129 N. La Cienega Blvd. Beverly Hills|Matsuhisa|Beverly Hills|129 N. La Cienega Blvd.
Mon Kee Seafood Restaurant 679 N. Spring St. Los Angeles|Mon Kee Seafood Restaurant|Los Angeles|679 N. Spring St.
Morton's 8764 Melrose Ave. Los Angeles|Morton's|Los Angeles|8764 Melrose Ave.
Nate 'n' Al's 414 N. Beverly Dr. Los Angeles|Nate 'n' Al's|Los Angeles|414 N. Beverly Dr.
Nicola 601 S. Figueroa St. Los Angeles|Nicola|Los Angeles|601 S. Figueroa St.
Ocean Avenue 1401 Ocean Ave. Santa Monica|Ocean Avenue|Santa Monica|1401 Ocean Ave.
Orleans 11705 National Blvd. Los Angeles|Orleans|Los Angeles|11705 National Blvd.
Pacific Dining Car 6th St. Los Angeles|Pacific Dining Car|Los Angeles|6th St.
Patina 5955 Melrose Ave. Los Angeles|Patina|Los Angeles|5955 Melrose Ave.
Paty's 10001 Riverside Dr. Toluca Lake|Paty's|Toluca Lake|10001 Riverside Dr.
Philippe's The Original 1001 N. Alameda St. Los Angeles|Philippe's The Original|Los Angeles|1001 N. Alameda St.
Pinot Bistro 12969 Ventura Blvd. Los Angeles|Pinot Bistro|Los Angeles|12969 Ventura Blvd.
Pinot Hollywood 1448 N. Gower St. Los Angeles|Pinot Hollywood|Los Angeles|1448 N. Gower St.
Posto 14928 Ventura Blvd. Sherman Oaks|Posto|Sherman Oaks|14928 Ventura Blvd.
Prego 362 N. Camden Dr. Los Angeles|Prego|Los Angeles|362 N. Camden Dr.
RJ'S the Rib Joint 252 N. Beverly Dr. Los Angeles|RJ'S the Rib Joint|Los Angeles|252 N. Beverly Dr.
Remi 3rd St. Promenade Santa Monica|Remi|Promenade Santa Monica|3rd St.
Restaurant Horikawa 111 S. San Pedro St. Los Angeles|Restaurant Horikawa|Los Angeles|111 S. San Pedro St.
Restaurant Katsu 1972 N. Hillhurst Ave. Los Angeles|Restaurant Katsu|Los Angeles|1972 N. Hillhurst Ave.
Rex Il Ristorante 617 S. Olive St. Los Angeles|Rex Il Ristorante|Los Angeles|617 S. Olive St.
Roscoe's House of Chicken 'n' Waffles 1514 N. Gower St. Los Angeles|Roscoe's House of Chicken 'n' Waffles|Los Angeles|1514 N. Gower St.
Schatzi on Main 3110 Main St. Los Angeles|Schatzi on Main|Los Angeles|3110 Main St.
Sofi 3rd St. Los Angeles|Sofi|Los Angeles|3rd St.
Spago 1114 Horn Ave. Los Angeles|Spago|Los Angeles|1114 Horn Ave.
Swingers 8020 Beverly Blvd. Los Angeles|Swingers|Los Angeles|8020 Beverly Blvd.
Tavola Calda 7371 Melrose Ave. Los Angeles|Tavola Calda|Los Angeles|7371 Melrose Ave.
The Mandarin 430 N. Camden Dr. Los Angeles|The Mandarin|Los Angeles|430 N. Camden Dr.
The Palm 9001 Santa Monica Blvd. Los Angeles|The Palm|Los Angeles|9001 Santa Monica Blvd.
Tommy Tang's 7313 Melrose Ave. Los Angeles|Tommy Tang's|Los Angeles|7313 Melrose Ave.
Tra di Noi 3835 Cross Creek Rd. Los Angeles|Tra di Noi|Los Angeles|3835 Cross Creek Rd.
Trader Vic's 9876 Wilshire Blvd. Los Angeles|Trader Vic's|Los Angeles|9876 Wilshire Blvd.
Valentino 3115 Pico Blvd. Santa Monica|Valentino|Santa Monica|3115 Pico Blvd.
Vida 1930 North Hillhurst Ave. Los Feliz|Vida|Los Feliz|1930 North Hillhurst Ave.
West Beach Cafe 60 N. Venice Blvd. Los Angeles|West Beach Cafe|Los Angeles|60 N. Venice Blvd.
Yujean Kang's Gourmet Chinese Cuisine 67 N. Raymond Ave. Los Angeles|Yujean Kang's Gourmet Chinese Cuisine|Los Angeles|67 N. Raymond Ave.
21 Club 21 W. 52nd St. New York|21 Club|New York|21 W. 52nd St.
20 Mott 20 Mott St.  between Bowery and Pell St. New York|20 Mott|New York|St.  between Bowery and Pell St.
9 Jones Street 9 Jones St. New York|9 Jones Street|New York|9 Jones St.
Adrienne 700 5th Ave. at 55th St. New York|Adrienne|New York|700 5th Ave. at 55th St.
Agrotikon 322 E. 14 St.  between 1st and 2nd Aves. New York|Agrotikon|New York|322 E. 14 St.  between 1st and 2nd Aves.
Aja 937 Broadway at 22nd St. New York|Aja|New York|937 Broadway at 22nd St.
Alamo 304 E. 48th St. New York|Alamo|New York|304 E. 48th St.
Alley's End 311 W. 17th St. New York|Alley's End|New York|311 W. 17th St.
Ambassador Grill 1 United Nations Plaza at 44th St. New York|Ambassador Grill|New York|1 United Nations Plaza at 44th St.
American Place 2 Park Ave. at 32nd St. New York|American Place|New York|2 Park Ave. at 32nd St.
Anche Vivolo 222 E. 58th St.  between 2nd and 3rd Aves. New York|Anche Vivolo|New York|222 E. 58th St.  between 2nd and 3rd Aves.
Aquavit 13 W. 54th St. New York|Aquavit|New York|13 W. 54th St.
Arizona 206 206 E. 60th St. New York|Arizona|New York|206 206 E. 60th St.
Arturo's 106 W. Houston St.  off Thompson St. New York|Arturo's|New York|106 W. Houston St.  off Thompson St.
Au Mandarin 200-250 Vesey St. World Financial Center New York|Au Mandarin|World Financial Center New York|200-250 Vesey St.
Aureole 34 E. 61st St. New York|Aureole|New York|34 E. 61st St.
Bar Anise 1022 3rd Ave.  between 60th and 61st Sts. New York|Bar Anise|New York|1022 3rd Ave.  between 60th and 61st Sts.
Barbetta 321 W. 46th St. New York|Barbetta|New York|321 W. 46th St.
Ben Benson's 123 W. 52nd St. New York|Ben Benson's|New York|123 W. 52nd St.
Big Cup 228 8th Ave.  between 21st and 22nd Sts. New York|Big Cup|New York|228 8th Ave.  between 21st and 22nd Sts.
Billy's 948 1st Ave.  between 52nd and 53rd Sts. New York|Billy's|New York|948 1st Ave.  between 52nd and 53rd Sts.
Boca Chica 13 1st Ave.  near 1st St. New York|Boca Chica|New York|13 1st Ave.  near 1st St.
Bolo 23 E. 22nd St. New York|Bolo|New York|23 E. 22nd St.
Boonthai 1393A 2nd Ave.  between 72nd and 73rd Sts. New York|Boonthai|New York|1393A 2nd Ave.  between 72nd and 73rd Sts.
Bouterin 420 E. 59th St.  off 1st Ave. New York|Bouterin|New York|420 E. 59th St.  off 1st Ave.
Brothers Bar-B-Q 225 Varick St. at Clarkston St. New York|Brothers Bar-B-Q|New York|225 Varick St. at Clarkston St.
Bruno 240 E. 58th St. New York|Bruno|New York|240 E. 58th St.
Bryant Park Grill  Roof Restaurant and BP Cafe 25 W. 40th St.  between 5th and 6th Aves. New York|Bryant Park Grill  Roof Restaurant and BP Cafe|New York|25 W. 40th St.  between 5th and 6th Aves.
C3 103 Waverly Pl.  near Washington Sq. New York|C|New York|3 103 Waverly Pl.  near Washington Sq.
CT 111 E. 22nd St.  between Park Ave. S and Lexington Ave. New York|CT|New York|111 E. 22nd St.  between Park Ave. S and Lexington Ave.
Caf&eacute; Bianco 1486 2nd Ave.  between 77th and 78th Sts. New York|Caf&eacute; Bianco|New York|1486 2nd Ave.  between 77th and 78th Sts.
Caf&eacute; Botanica 160 Central Park S New York|Caf&eacute; Botanica|New York|160 Central Park S
Caf&eacute; La Fortuna 69 W. 71st St. New York|Caf&eacute; La Fortuna|New York|69 W. 71st St.
Caf&eacute; Lalo 201 W. 83rd St. New York|Caf&eacute; Lalo|New York|201 W. 83rd St.
Caf&eacute; Luxembourg 200 W. 70th St. New York|Caf&eacute; Luxembourg|New York|200 W. 70th St.
Caf&eacute; Pierre 2 E. 61st St. New York|Caf&eacute; Pierre|New York|2 E. 61st St.
Caf&eacute; des Artistes 1 W. 67th St. New York|Caf&eacute; des Artistes|New York|1 W. 67th St.
Cafe Centro 200 Park Ave.  between 45th St. and Vanderbilt Ave. New York|Cafe Centro|New York|200 Park Ave.  between 45th St. and Vanderbilt Ave.
Cafe Fes 246 W. 4th St. at Charles St. New York|Cafe Fes|New York|246 W. 4th St. at Charles St.
Caff&egrave; Dante 81 Macdougal St.  between Houston and Bleeker Sts. New York|Caff&egrave; Dante|New York|81 Macdougal St.  between Houston and Bleeker Sts.
Caff&egrave; Dell'Artista 46 Greenwich Ave. New York|Caff&egrave; Dell'Artista|New York|46 Greenwich Ave.
Caff&egrave; Lure 169 Sullivan St.  between Houston and Bleecker Sts. New York|Caff&egrave; Lure|New York|169 Sullivan St.  between Houston and Bleecker Sts.
Caff&egrave; Reggio 119 MacDougal St.  between 3rd and Bleecker Sts. New York|Caff&egrave; Reggio|New York|119 MacDougal St.  between 3rd and Bleecker Sts.
Caff&egrave; Roma 385 Broome St. at Mulberry New York|Caff&egrave; Roma|at Mulberry New York|385 Broome St.
Caff&egrave; Vivaldi 32 Jones St. at Bleecker St. New York|Caff&egrave; Vivaldi|New York|32 Jones St. at Bleecker St.
Caffe Bondi Ristorante 7 W. 20th St. New York|Caffe Bondi Ristorante|New York|7 W. 20th St.
Capsouto Fr&egrave;res 451 Washington St.  near Watts St. New York|Capsouto Fr&egrave;res|New York|451 Washington St.  near Watts St.
Captain's Table 860 2nd Ave. at 46th St. New York|Captain's Table|New York|860 2nd Ave. at 46th St.
Carmine's 2450 Broadway  between 90th and 91st Sts. New York|Carmine's|New York|2450 Broadway  between 90th and 91st Sts.
Carnegie Deli 854 7th Ave.  between 54th and 55th Sts. New York|Carnegie Deli|New York|854 7th Ave.  between 54th and 55th Sts.
Casa La Femme 150 Wooster St.  between Houston and Prince Sts. New York|Casa La Femme|New York|150 Wooster St.  between Houston and Prince Sts.
Cendrillon Asian Grill & Marimba Bar 45 Mercer St.  between Broome and Grand Sts. New York|Cendrillon Asian Grill & Marimba Bar|New York|45 Mercer St.  between Broome and Grand Sts.
Chanterelle 2 Harrison St.  near Hudson St. New York|Chanterelle|New York|2 Harrison St.  near Hudson St.
Chez Jacqueline 72 MacDougal St.  between W. Houston and Bleecker Sts. New York|Chez Jacqueline|New York|72 MacDougal St.  between W. Houston and Bleecker Sts.
Chiam 160 E. 48th St. New York|Chiam|New York|160 E. 48th St.
China Grill 60 W. 53rd St. New York|China Grill|New York|60 W. 53rd St.
Cit&eacute; 120 W. 51st St. New York|Cit&eacute;|New York|120 W. 51st St.
Coco Pazzo 23 E. 74th St. New York|Coco Pazzo|New York|23 E. 74th St.
Columbus Bakery 53rd Sts. New York|Columbus Bakery|New York|53rd Sts.
Corrado Caf&eacute; 1013 3rd Ave.  between 60th and 61st Sts. New York|Corrado Caf&eacute;|New York|1013 3rd Ave.  between 60th and 61st Sts.
Cupcake Caf&eacute; 522 9th Ave. at 39th St. New York|Cupcake Caf&eacute;|New York|522 9th Ave. at 39th St.
Da Nico 164 Mulberry St.  between Grand and Broome Sts. New York|Da Nico|New York|164 Mulberry St.  between Grand and Broome Sts.
Daniel 20 E. 76th St. New York|Daniel|New York|20 E. 76th St.
Dawat 210 E. 58th St. New York|Dawat|New York|210 E. 58th St.
Dean & Deluca 121 Prince St. New York|Dean & Deluca|New York|121 Prince St.
Diva 341 W. Broadway  near Grand St. New York|Diva|New York|341 W. Broadway  near Grand St.
Dix et Sept 181 W. 10th St. New York|Dix et Sept|New York|181 W. 10th St.
Docks 633 3rd Ave. at 40th St. New York|Docks|New York|633 3rd Ave. at 40th St.
Duane Park Caf&eacute; 157 Duane St.  between W. Broadway and Hudson St. New York|Duane Park Caf&eacute;|New York|157 Duane St.  between W. Broadway and Hudson St.
El Teddy's 219 W. Broadway  between Franklin and White Sts. New York|El Teddy's|New York|219 W. Broadway  between Franklin and White Sts.
Emily's 1325 5th Ave. at 111th St. New York|Emily's|New York|1325 5th Ave. at 111th St.
Empire Korea 6 E. 32nd St. New York|Empire Korea|New York|6 E. 32nd St.
Ernie's 2150 Broadway  between 75th and 76th Sts. New York|Ernie's|New York|2150 Broadway  between 75th and 76th Sts.
Evergreen Cafe 1288 1st Ave. at 69th St. New York|Evergreen Cafe|New York|1288 1st Ave. at 69th St.
F. Ille Ponte Ristorante 39 Desbrosses St.  near West St. New York|F. Ille Ponte Ristorante|New York|39 Desbrosses St.  near West St.
Felidia 243 E. 58th St. New York|Felidia|New York|243 E. 58th St.
Felix 340 W. Broadway at Grand St. New York|Felix|New York|340 W. Broadway at Grand St.
Ferrier 29 E. 65th St. New York|Ferrier|New York|29 E. 65th St.
Fifty Seven Fifty Seven 57 E. 57th St. New York|Fifty Seven Fifty Seven|New York|57 E. 57th St.
Film Center Cafe 635 9th Ave.  between 44th and 45th Sts. New York|Film Center Cafe|New York|635 9th Ave.  between 44th and 45th Sts.
Fiorello's Roman Caf&eacute; 1900 Broadway  between 63rd and 64th Sts. New York|Fiorello's Roman Caf&eacute;|New York|1900 Broadway  between 63rd and 64th Sts.
Firehouse 522 Columbus Ave.  between 85th and 86th Sts. New York|Firehouse|New York|522 Columbus Ave.  between 85th and 86th Sts.
First 87 1st Ave.  between 5th and 6th Sts. New York|First|New York|87 1st Ave.  between 5th and 6th Sts.
Fishin Eddie 73 W. 71st St. New York|Fishin Eddie|New York|73 W. 71st St.
Fleur de Jour 348 E. 62nd St. New York|Fleur de Jour|New York|348 E. 62nd St.
Flowers 21 West 17th St.  between 5th and 6th Aves. New York|Flowers|New York|21 West 17th St.  between 5th and 6th Aves.
Follonico 6 W. 24th St. New York|Follonico|New York|6 W. 24th St.
Four Seasons Grill Room 99 E. 52nd St. New York|Four Seasons Grill Room|New York|99 E. 52nd St.
Fraunces Tavern 54 Pearl St. at Broad St. New York|Fraunces Tavern|New York|54 Pearl St. at Broad St.
French Roast 458 6th Ave. at 11th St. New York|French Roast|New York|458 6th Ave. at 11th St.
French Roast Caf&eacute; 2340 Broadway at 85th St. New York|French Roast Caf&eacute;|New York|2340 Broadway at 85th St.
Frico Bar 402 W. 43rd St.  off 9th Ave. New York|Frico Bar|New York|402 W. 43rd St.  off 9th Ave.
Fujiyama Mama 467 Columbus Ave.  between 82nd and 83rd Sts. New York|Fujiyama Mama|New York|467 Columbus Ave.  between 82nd and 83rd Sts.
Gabriela's 685 Amsterdam Ave. at 93rd St. New York|Gabriela's|New York|685 Amsterdam Ave. at 93rd St.
