original string|restaurant name|city name|address
Cafe Renaissance 7050 Jimmy Carter Blvd.  Norcross Atlanta|Cafe Renaissance|Norcross Atlanta|7050 Jimmy Carter Blvd.
Camille's 1186 N. Highland Ave. Atlanta|Camille's|Atlanta|1186 N. Highland Ave.
Cassis 3300 Peachtree Rd.  Grand Hyatt Atlanta|Cassis|Grand Hyatt Atlanta|3300 Peachtree Rd.
Ciboulette 1529 Piedmont Ave. Atlanta|Ciboulette|Atlanta|1529 Piedmont Ave.
City Grill 50 Hurt Plaza Atlanta|City Grill|Atlanta|50 Hurt Plaza
Coco Loco 40  Buckhead Crossing Mall on the Sidney Marcus Blvd. Atlanta|Coco Loco|Atlanta|40  Buckhead Crossing Mall on the Sidney Marcus Blvd.
Colonnade Restaurant 1879 Cheshire Bridge Rd. Atlanta|Colonnade Restaurant|Atlanta|1879 Cheshire Bridge Rd.
Dante's Down the Hatch  Buckhead 3380 Peachtree Rd. Atlanta|Dante's Down the Hatch  Buckhead|Atlanta|3380 Peachtree Rd.
Delectables 1 Margaret Mitchell Sq. Atlanta|Delectables|Atlanta|1 Margaret Mitchell Sq.
Dining Room  Ritz-Carlton  Buckhead 3434 Peachtree Rd. Atlanta|Dining Room  Ritz-Carlton  Buckhead|Atlanta|3434 Peachtree Rd.
Fat Matt's Rib Shack 1811 Piedmont Ave.  near Cheshire Bridge Rd. Atlanta|Fat Matt's Rib Shack|Atlanta|1811 Piedmont Ave.  near Cheshire Bridge Rd.
French Quarter Food Shop 923 Peachtree St.  at 8th St. Atlanta|French Quarter Food Shop|Atlanta|923 Peachtree St.  at 8th St.
Georgia Grille 2290 Peachtree Rd.  Peachtree Square Shopping Center Atlanta|Georgia Grille|Peachtree Square Shopping Center Atlanta|2290 Peachtree Rd.
Hedgerose Heights Inn 490 E. Paces Ferry Rd. Atlanta|Hedgerose Heights Inn|Atlanta|490 E. Paces Ferry Rd.
Heera of India 595 Piedmont Ave.  Rio Shopping Mall Atlanta|Heera of India|Rio Shopping Mall Atlanta|595 Piedmont Ave.
Holt Bros. Bar-B-Q 6359 Jimmy Carter Blvd.  at Buford Hwy.  Norcross Atlanta|Holt Bros. Bar-B-Q|Norcross Atlanta|6359 Jimmy Carter Blvd.  at Buford Hwy.
Horseradish Grill 4320 Powers Ferry Rd. Atlanta|Horseradish Grill|Atlanta|4320 Powers Ferry Rd.
Hsu's Gourmet 192 Peachtree Center Ave.  at International Blvd. Atlanta|Hsu's Gourmet|Atlanta|192 Peachtree Center Ave.  at International Blvd.
Imperial Fez 2285 Peachtree Rd.  Peachtree Battle Condominium Atlanta|Imperial Fez|Peachtree Battle Condominium Atlanta|2285 Peachtree Rd.
Indigo Coastal Grill 1397 N. Highland Ave. Atlanta|Indigo Coastal Grill|Atlanta|1397 N. Highland Ave.
Kamogawa 3300 Peachtree Rd.  Grand Hyatt Atlanta|Kamogawa|Grand Hyatt Atlanta|3300 Peachtree Rd.
La Grotta 2637 Peachtree Rd.  Peachtree House Condominium Atlanta|La Grotta|Peachtree House Condominium Atlanta|2637 Peachtree Rd.
Lowcountry Barbecue 6301 Roswell Rd.  Sandy Springs Plaza  Sandy Springs Atlanta|Lowcountry Barbecue|Sandy Springs Plaza  Sandy Springs Atlanta|6301 Roswell Rd.
Luna S&iacute; 1931 Peachtree Rd. Atlanta|Luna S&iacute;|Atlanta|1931 Peachtree Rd.
Mambo Restaurante Cubano 1402 N. Highland Ave. Atlanta|Mambo Restaurante Cubano|Atlanta|1402 N. Highland Ave.
Mary Mac's Tea Room 224 Ponce de Leon Ave. Atlanta|Mary Mac's Tea Room|Atlanta|224 Ponce de Leon Ave.
McKinnon's Louisiane 3209 Maple Dr. Atlanta|McKinnon's Louisiane|Atlanta|3209 Maple Dr.
Nickiemoto's: A Sushi Bar 247 Buckhead Ave.  East Village Sq. Atlanta|Nickiemoto's: A Sushi Bar|Atlanta|247 Buckhead Ave.  East Village Sq.
Nikolai's Roof 255 Courtland St.  at Harris St. Atlanta|Nikolai's Roof|Atlanta|255 Courtland St.  at Harris St.
Palisades 1829 Peachtree Rd. Atlanta|Palisades|Atlanta|1829 Peachtree Rd.
Pano's and Paul's 1232 W. Paces Ferry Rd. Atlanta|Pano's and Paul's|Atlanta|1232 W. Paces Ferry Rd.
Pleasant Peasant 555 Peachtree St.  at Linden Ave. Atlanta|Pleasant Peasant|Atlanta|555 Peachtree St.  at Linden Ave.
Pricci 500 Pharr Rd. Atlanta|Pricci|Atlanta|500 Pharr Rd.
R.J.'s Uptown Kitchen & Wine Bar 870 N. Highland Ave. Atlanta|R.J.'s Uptown Kitchen & Wine Bar|Atlanta|870 N. Highland Ave.
Restaurant  Ritz-Carlton  Atlanta 181 Peachtree St. Atlanta|Restaurant  Ritz-Carlton  Atlanta|Atlanta|181 Peachtree St.
Rib Ranch 25 Irby Ave. Atlanta|Rib Ranch|Atlanta|25 Irby Ave.
Sa Tsu Ki 3043 Buford Hwy. Atlanta|Sa Tsu Ki|Atlanta|3043 Buford Hwy.
Sato Sushi and Thai 6050 Peachtree Pkwy.  Norcross Atlanta|Sato Sushi and Thai|Norcross Atlanta|6050 Peachtree Pkwy.
South City Kitchen 1144 Crescent Ave. Atlanta|South City Kitchen|Atlanta|1144 Crescent Ave.
South of France 2345 Cheshire Bridge Rd. Atlanta|South of France|Atlanta|2345 Cheshire Bridge Rd.
Stringer's Fish Camp and Oyster Bar 3384 Shallowford Rd.  Chamblee Atlanta|Stringer's Fish Camp and Oyster Bar|Chamblee Atlanta|3384 Shallowford Rd.
Sundown Cafe 2165 Cheshire Bridge Rd. Atlanta|Sundown Cafe|Atlanta|2165 Cheshire Bridge Rd.
Taste of New Orleans 889 W. Peachtree St. Atlanta|Taste of New Orleans|Atlanta|889 W. Peachtree St.
TomTom 3393 Peachtree Rd. Atlanta|TomTom|Atlanta|3393 Peachtree Rd.
Veni Vidi Vici 41 14th St. Atlanta|Veni Vidi Vici|Atlanta|41 14th St.
Antonio's 3700 W. Flamingo Las Vegas|Antonio's|Flamingo Las Vegas|3700 W.
Bally's Big Kitchen 3645 Las Vegas Blvd. S Las Vegas|Bally's Big Kitchen|S Las Vegas|3645 Las Vegas Blvd.
Bamboo Garden 4850 Flamingo Rd. Las Vegas|Bamboo Garden|Las Vegas|4850 Flamingo Rd.
Battista's Hole in the Wall 4041 Audrie St. at Flamingo Rd. Las Vegas|Battista's Hole in the Wall|Las Vegas|4041 Audrie St. at Flamingo Rd.
Bertolini's 3570 Las Vegas Blvd. S Las Vegas|Bertolini's|S Las Vegas|3570 Las Vegas Blvd.
Binion's Coffee Shop 128 Fremont St. Las Vegas|Binion's Coffee Shop|Las Vegas|128 Fremont St.
Bistro 3400 Las Vegas Blvd. S Las Vegas|Bistro|S Las Vegas|3400 Las Vegas Blvd.
Broiler 4111 Boulder Hwy. Las Vegas|Broiler|Las Vegas|4111 Boulder Hwy.
Bugsy's Diner 3555 Las Vegas Blvd. S Las Vegas|Bugsy's Diner|S Las Vegas|3555 Las Vegas Blvd.
Caf&eacute; Michelle 1350 E. Flamingo Rd. Las Vegas|Caf&eacute; Michelle|Las Vegas|1350 E. Flamingo Rd.
Cafe Roma 3570 Las Vegas Blvd. S Las Vegas|Cafe Roma|S Las Vegas|3570 Las Vegas Blvd.
Capozzoli's 3333 S. Maryland Pkwy. Las Vegas|Capozzoli's|Las Vegas|3333 S. Maryland Pkwy.
Carnival World 3700 W. Flamingo Rd. Las Vegas|Carnival World|Las Vegas|3700 W. Flamingo Rd.
Center Stage Plaza Hotel  1 Main St. Las Vegas|Center Stage Plaza Hotel|Las Vegas|1 Main St.
Chin's 3200 Las Vegas Blvd. S Las Vegas|Chin's|S Las Vegas|3200 Las Vegas Blvd.
Circus Circus 2880 Las Vegas Blvd. S Las Vegas|Circus Circus|S Las Vegas|2880 Las Vegas Blvd.
Coyote Caf&eacute; 3799 Las Vegas Blvd. S Las Vegas|Coyote Caf&eacute;|S Las Vegas|3799 Las Vegas Blvd.
Empress Court 3570 Las Vegas Blvd. S Las Vegas|Empress Court|S Las Vegas|3570 Las Vegas Blvd.
Feast 2411 W. Sahara Ave. Las Vegas|Feast|Las Vegas|2411 W. Sahara Ave.
Golden Nugget Hotel 129 E. Fremont St. Las Vegas|Golden Nugget Hotel|Las Vegas|129 E. Fremont St.
Golden Steer 308 W. Sahara Ave. Las Vegas|Golden Steer|Las Vegas|308 W. Sahara Ave.
Le Montrachet 3000 W. Paradise Rd. Las Vegas|Le Montrachet|Las Vegas|3000 W. Paradise Rd.
Lillie Langtry's 129 E. Fremont St. Las Vegas|Lillie Langtry's|Las Vegas|129 E. Fremont St.
Mandarin Court 1510 E. Flamingo Rd. Las Vegas|Mandarin Court|Las Vegas|1510 E. Flamingo Rd.
Margarita's Mexican Cantina 3120 Las Vegas Blvd. S Las Vegas|Margarita's Mexican Cantina|S Las Vegas|3120 Las Vegas Blvd.
Mary's Diner 5111 W. Boulder Hwy. Las Vegas|Mary's Diner|Las Vegas|5111 W. Boulder Hwy.
Mikado 3400 Las Vegas Blvd. S Las Vegas|Mikado|S Las Vegas|3400 Las Vegas Blvd.
Palace Court 3570 Las Vegas Blvd. S Las Vegas|Palace Court|S Las Vegas|3570 Las Vegas Blvd.
Pamplemousse 400 E. Sahara Ave. Las Vegas|Pamplemousse|Las Vegas|400 E. Sahara Ave.
Ralph's Diner 3000 Las Vegas Blvd. S Las Vegas|Ralph's Diner|S Las Vegas|3000 Las Vegas Blvd.
Second Street Grille 200 E. Fremont St. Las Vegas|Second Street Grille|Las Vegas|200 E. Fremont St.
Steak House 2880 Las Vegas Blvd. S Las Vegas|Steak House|S Las Vegas|2880 Las Vegas Blvd.
The Bacchanal 3570 Las Vegas Blvd. S Las Vegas|The Bacchanal|S Las Vegas|3570 Las Vegas Blvd.
Tillerman 2245 E. Flamingo Rd. Las Vegas|Tillerman|Las Vegas|2245 E. Flamingo Rd.
Venetian 3713 W. Sahara Ave. Las Vegas|Venetian|Las Vegas|3713 W. Sahara Ave.
Viva Mercado's 6182 W. Flamingo Rd. Las Vegas|Viva Mercado's|Las Vegas|6182 W. Flamingo Rd.
Yolie's 3900 Paradise Rd. Las Vegas|Yolie's|Las Vegas|3900 Paradise Rd.
2223 2223 Market St. San Francisco|2223|San Francisco|Market St.
Acquarello 1722 Sacramento St. San Francisco|Acquarello|San Francisco|1722 Sacramento St.
Alain Rondelli 126 Clement St. San Francisco|Alain Rondelli|San Francisco|126 Clement St.
Aqua 252 California St. San Francisco|Aqua|San Francisco|252 California St.
Bardelli's 243 O'Farrell St. San Francisco|Bardelli's|San Francisco|243 O'Farrell St.
Betelnut 2030 Union St. San Francisco|Betelnut|San Francisco|2030 Union St.
Bistro Roti 155 Steuart St. San Francisco|Bistro Roti|San Francisco|155 Steuart St.
Bix 56 Gold St. San Francisco|Bix|San Francisco|56 Gold St.
Bizou 598 Fourth St. San Francisco|Bizou|San Francisco|598 Fourth St.
Boulevard 1 Mission St. San Francisco|Boulevard|San Francisco|1 Mission St.
Buca Giovanni 800 Greenwich St. San Francisco|Buca Giovanni|San Francisco|800 Greenwich St.
Caf&eacute; Adriano 3347 Fillmore St. San Francisco|Caf&eacute; Adriano|San Francisco|3347 Fillmore St.
Caf&eacute; Claude 7 Claude La. San Francisco|Caf&eacute; Claude|San Francisco|7 Claude La.
Caf&eacute; Marimba 2317 Chestnut St. San Francisco|Caf&eacute; Marimba|San Francisco|2317 Chestnut St.
California Culinary Academy 625 Polk St. San Francisco|California Culinary Academy|San Francisco|625 Polk St.
Campton Place 340 Stockton St. San Francisco|Campton Place|San Francisco|340 Stockton St.
Capp's Corner 1600 Powell St. San Francisco|Capp's Corner|San Francisco|1600 Powell St.
Carta 1772 Market St. San Francisco|Carta|San Francisco|1772 Market St.
Chevys 4th and Howard Sts. San Francisco|Chevys|San Francisco|4th and Howard Sts.
Chez Michel 804 Northpoint San Francisco|Chez Michel|San Francisco|804 Northpoint
Cypress Club 500 Jackson St. San Francisco|Cypress Club|San Francisco|500 Jackson St.
Des Alpes 732 Broadway San Francisco|Des Alpes|San Francisco|732 Broadway
Faz 161 Sutter St. San Francisco|Faz|San Francisco|161 Sutter St.
Fleur de Lys 777 Sutter St. San Francisco|Fleur de Lys|San Francisco|777 Sutter St.
Fog City Diner 1300 Battery St. San Francisco|Fog City Diner|San Francisco|1300 Battery St.
Fringale 570 4th St. San Francisco|Fringale|San Francisco|570 4th St.
Grand Caf&eacute; Hotel Monaco 501 Geary St. San Francisco|Grand Caf&eacute; Hotel Monaco|San Francisco|501 Geary St.
Harbor Village 4 Embarcadero Center San Francisco|Harbor Village|San Francisco|4 Embarcadero Center
Harris' 2100 Van Ness Ave. San Francisco|Harris'|San Francisco|2100 Van Ness Ave.
Harry Denton's 161 Steuart St. San Francisco|Harry Denton's|San Francisco|161 Steuart St.
Hawthorne Lane 22 Hawthorne St. San Francisco|Hawthorne Lane|San Francisco|22 Hawthorne St.
Hayes Street Grill 320 Hayes St. San Francisco|Hayes Street Grill|San Francisco|320 Hayes St.
Helmand 430 Broadway San Francisco|Helmand|San Francisco|430 Broadway
Hong Kong Flower Lounge 5322 Geary Blvd. San Francisco|Hong Kong Flower Lounge|San Francisco|5322 Geary Blvd.
Hong Kong Villa 2332 Clement St. San Francisco|Hong Kong Villa|San Francisco|2332 Clement St.
Hyde Street Bistro 1521 Hyde St. San Francisco|Hyde Street Bistro|San Francisco|1521 Hyde St.
Il Fornaio Levi's Plaza 1265 Battery St. San Francisco|Il Fornaio Levi's Plaza|San Francisco|1265 Battery St.
Izzy's Steak & Chop House 3345 Steiner St. San Francisco|Izzy's Steak & Chop House|San Francisco|3345 Steiner St.
Jack's 615 Sacramento St. San Francisco|Jack's|San Francisco|615 Sacramento St.
Kabuto Sushi 5116 Geary Blvd. San Francisco|Kabuto Sushi|San Francisco|5116 Geary Blvd.
Katia's 600 5th Ave. San Francisco|Katia's|San Francisco|600 5th Ave.
Khan Toke Thai House 5937 Geary Blvd. San Francisco|Khan Toke Thai House|San Francisco|5937 Geary Blvd.
Kuleto's 221 Powell St. San Francisco|Kuleto's|San Francisco|221 Powell St.
Kyo-ya. Sheraton Palace Hotel  2 New Montgomery St.  at Market St. San Francisco|Kyo-ya. Sheraton Palace Hotel|San Francisco|2 New Montgomery St.  at Market St.
L'Osteria del Forno 519 Columbus Ave. San Francisco|L'Osteria del Forno|San Francisco|519 Columbus Ave.
La Folie 2316 Polk St. San Francisco|La Folie|San Francisco|2316 Polk St.
Le Central 453 Bush St. San Francisco|Le Central|San Francisco|453 Bush St.
Le Soleil 133 Clement St. San Francisco|Le Soleil|San Francisco|133 Clement St.
LuLu 816 Folsom St. San Francisco|LuLu|San Francisco|816 Folsom St.
MacArthur Park 607 Front St. San Francisco|MacArthur Park|San Francisco|607 Front St.
Manora 3226 Mission St. San Francisco|Manora|San Francisco|3226 Mission St.
Masa's 648 Bush St. San Francisco|Masa's|San Francisco|648 Bush St.
Maykadeh 470 Green St. San Francisco|Maykadeh|San Francisco|470 Green St.
Mifune Japan Center  Kintetsu Building  1737 Post St. San Francisco|Mifune Japan Center  Kintetsu Building|San Francisco|1737 Post St.
Millennium 246 McAllister St. San Francisco|Millennium|San Francisco|246 McAllister St.
Moose's 1652 Stockton St. San Francisco|Moose's|San Francisco|1652 Stockton St.
North India 3131 Webster St. San Francisco|North India|San Francisco|3131 Webster St.
One Market 1 Market St. San Francisco|One Market|San Francisco|1 Market St.
Oritalia 1915 Fillmore St. San Francisco|Oritalia|San Francisco|1915 Fillmore St.
Pacific Pan Pacific Hotel  500 Post St. San Francisco|Pacific Pan Pacific Hotel|San Francisco|500 Post St.
Palio d'Asti 640 Sacramento St. San Francisco|Palio d'Asti|San Francisco|640 Sacramento St.
Pane e Vino 3011 Steiner St. San Francisco|Pane e Vino|San Francisco|3011 Steiner St.
Pastis 1015 Battery St. San Francisco|Pastis|San Francisco|1015 Battery St.
Perry's 1944 Union St. San Francisco|Perry's|San Francisco|1944 Union St.
PlumpJack Caf&eacute; 3201 Fillmore St. San Francisco|PlumpJack Caf&eacute;|San Francisco|3201 Fillmore St.
Postrio 545 Post St. San Francisco|Postrio|San Francisco|545 Post St.
R&G Lounge 631 B Kearny St. San Francisco|R&G Lounge|San Francisco|631 B Kearny St.
Ritz-Carlton Restaurant and Dining Room 600 Stockton St. San Francisco|Ritz-Carlton Restaurant and Dining Room|San Francisco|600 Stockton St.
Rose Pistola 532 Columbus Ave. San Francisco|Rose Pistola|San Francisco|532 Columbus Ave.
Rubicon 558 Sacramento St. San Francisco|Rubicon|San Francisco|558 Sacramento St.
Rumpus 1 Tillman Pl. San Francisco|Rumpus|San Francisco|1 Tillman Pl.
Sanppo 1702 Post St. San Francisco|Sanppo|San Francisco|1702 Post St.
Scala's Bistro 432 Powell St. San Francisco|Scala's Bistro|San Francisco|432 Powell St.
South Park Cafe 108 South Park San Francisco|South Park Cafe|San Francisco|108 South Park
Splendido Embarcadero 4 San Francisco|Splendido|San Francisco|Embarcadero 4
Stars 150 Redwood Alley San Francisco|Stars|San Francisco|150 Redwood Alley
Stars Cafe 500 Van Ness Ave. San Francisco|Stars Cafe|San Francisco|500 Van Ness Ave.
Stoyanof's Cafe 1240 9th Ave. San Francisco|Stoyanof's Cafe|San Francisco|1240 9th Ave.
Straits Cafe 3300 Geary Blvd. San Francisco|Straits Cafe|San Francisco|3300 Geary Blvd.
Suppenkuche 601 Hayes St. San Francisco|Suppenkuche|San Francisco|601 Hayes St.
Tadich Grill 240 California St. San Francisco|Tadich Grill|San Francisco|240 California St.
The Heights 3235 Sacramento St. San Francisco|The Heights|San Francisco|3235 Sacramento St.
Thepin 298 Gough St. San Francisco|Thepin|San Francisco|298 Gough St.
Ton Kiang 3148 Geary Blvd. San Francisco|Ton Kiang|San Francisco|3148 Geary Blvd.
Vertigo 600 Montgomery St. San Francisco|Vertigo|San Francisco|600 Montgomery St.
Vivande Porta Via 2125 Fillmore St. San Francisco|Vivande Porta Via|San Francisco|2125 Fillmore St.
Vivande Ristorante 670 Golden Gate Ave. San Francisco|Vivande Ristorante|San Francisco|670 Golden Gate Ave.
World Wrapps 2257 Chestnut St. San Francisco|World Wrapps|San Francisco|2257 Chestnut St.
Wu Kong 101 Spear St. San Francisco|Wu Kong|San Francisco|101 Spear St.
Yank Sing 427 Battery St. San Francisco|Yank Sing|San Francisco|427 Battery St.
Yaya Cuisine 1220 9th Ave. San Francisco|Yaya Cuisine|San Francisco|1220 9th Ave.
Yoyo Tsumami Bistro 1611 Post St. San Francisco|Yoyo Tsumami Bistro|San Francisco|1611 Post St.
Zarzuela 2000 Hyde St. San Francisco|Zarzuela|San Francisco|2000 Hyde St.
Zuni Caf&eacute; & Grill 1658 Market St. San Francisco|Zuni Caf&eacute; & Grill|San Francisco|1658 Market St.
La Grotta at Ravinia Dunwoody Rd.  Holiday Inn/Crowne Plaza at Ravinia  Dunwoody Atlanta|La Grotta|Atlanta|Dunwoody Rd.  Holiday Inn/Crowne Plaza at Ravinia  Dunwoody
Little Szechuan C Buford Hwy.  Northwoods Plaza  Doraville Atlanta|Little Szechuan|Atlanta|C Buford Hwy.  Northwoods Plaza  Doraville
Mi Spia Dunwoody Rd.  Park Place  across from Perimeter Mall  Dunwoody Atlanta|Mi Spia|Atlanta|Dunwoody Rd.  Park Place  across from Perimeter Mall  Dunwoody
Toulouse B Peachtree Rd. Atlanta|Toulouse|Atlanta|B Peachtree Rd.
Garden Court Market and New Montgomery Sts. San Francisco|Garden Court Market|San Francisco|New Montgomery Sts.
Gaylord's Ghirardelli Sq. San Francisco|Gaylord's|San Francisco|Ghiradelli Sq.
Greens Bldg. A Fort Mason San Francisco|Greens|San Francisco|Landmark Bldg. A Fort Mason
McCormick & Kuleto's Ghirardelli Sq. San Francisco|McCormick & Kuleto's|San Francisco|Ghirardelli Sq.
